iter	Passed	Remaining
0	1	1191
1	2	1209
2	3	1236
3	4	1189
4	6	1291
5	8	1326
6	9	1332
7	10	1311
8	11	1277
9	12	1249
10	13	1229
11	14	1212
12	16	1215
13	17	1200
14	18	1188
15	19	1177
16	20	1166
17	22	1200
18	23	1198
19	24	1190
20	25	1182
21	26	1173
22	27	1169
23	28	1167
24	29	1160
25	30	1147
26	31	1134
27	32	1122
28	33	1112
29	34	1106
30	35	1098
31	36	1096
32	37	1087
33	37	1077
34	38	1066
35	39	1056
36	40	1049
37	41	1044
38	42	1040
39	42	1031
40	43	1020
41	44	1010
42	44	1001
43	45	991
44	46	984
45	47	977
46	47	969
47	48	961
48	49	952
49	49	943
50	50	935
51	51	937
52	53	950
53	53	945
54	54	937
55	55	930
56	55	923
57	56	916
58	57	909
59	57	903
60	58	896
61	58	892
62	59	887
63	60	880
64	60	874
65	61	869
66	62	863
67	62	854
68	62	849
69	63	844
70	64	839
71	64	834
72	65	830
73	66	828
74	66	826
75	67	821
76	68	817
77	68	814
78	69	811
79	70	807
80	70	804
81	71	801
82	72	798
83	72	795
84	73	789
85	73	785
86	74	780
87	75	777
88	75	774
89	76	770
90	76	767
91	77	764
92	78	762
93	78	759
94	79	756
95	80	753
96	80	753
97	81	751
98	82	748
99	82	745
100	83	743
101	83	738
102	84	736
103	85	734
104	85	731
105	86	728
106	86	725
107	87	723
108	88	721
109	88	718
110	89	717
111	90	716
112	91	714
113	91	712
114	92	709
115	92	706
116	93	704
117	93	702
118	94	699
119	95	696
120	95	694
121	96	693
122	96	690
123	97	688
124	98	687
125	98	685
126	99	683
127	99	680
128	100	678
129	101	676
130	101	675
131	102	673
132	103	672
133	103	671
134	104	669
135	105	667
136	105	666
137	106	663
138	106	661
139	107	659
140	108	658
141	108	656
142	109	654
143	109	653
144	110	653
145	111	653
146	112	651
147	112	650
148	113	650
149	114	648
150	115	651
151	116	650
152	117	648
153	117	647
154	118	645
155	119	644
156	119	642
157	120	641
158	120	639
159	121	637
160	122	636
161	122	635
162	123	634
163	124	632
164	124	631
165	125	630
166	126	630
167	127	629
168	127	628
169	128	626
170	129	625
171	129	624
172	130	623
173	131	621
174	131	620
175	132	618
176	132	617
177	133	616
178	134	614
179	134	613
180	135	610
181	135	609
182	136	608
183	136	606
184	137	605
185	138	604
186	138	602
187	139	601
188	139	600
189	140	599
190	141	598
191	142	598
192	142	596
193	143	595
194	143	594
195	144	593
196	145	592
197	145	590
198	146	589
199	147	588
200	147	587
201	148	586
202	148	584
203	149	583
204	150	582
205	150	581
206	151	579
207	151	578
208	152	577
209	153	576
210	153	575
211	154	574
212	155	573
213	156	573
214	156	571
215	157	570
216	157	569
217	158	568
218	159	567
219	159	566
220	160	565
221	161	564
222	161	563
223	162	562
224	162	561
225	163	560
226	164	558
227	164	557
228	165	556
229	166	555
230	166	554
231	167	554
232	168	553
233	168	552
234	169	551
235	170	550
236	170	549
237	171	548
238	171	547
239	172	546
240	173	545
241	173	544
242	174	543
243	175	542
244	175	541
245	176	540
246	177	539
247	177	538
248	178	537
249	178	536
250	179	535
251	180	534
252	180	533
253	181	532
254	182	531
255	182	530
256	183	529
257	183	528
258	184	528
259	185	527
260	186	527
261	186	526
262	187	525
263	188	524
264	188	523
265	189	522
266	189	521
267	190	520
268	191	519
269	191	517
270	192	517
271	192	516
272	193	515
273	194	514
274	194	513
275	195	513
276	196	512
277	196	511
278	197	510
279	198	509
280	198	508
281	200	509
282	200	508
283	201	507
284	201	506
285	202	505
286	203	504
287	203	503
288	204	502
289	205	502
290	205	501
291	206	500
292	206	499
293	207	498
294	208	497
295	208	496
296	209	495
297	210	494
298	210	493
299	211	493
300	212	492
301	212	491
302	213	490
303	213	489
304	215	490
305	216	490
306	216	489
307	217	488
308	218	487
309	218	486
310	219	485
311	220	485
312	220	484
313	221	483
314	221	482
315	222	481
316	223	480
317	223	479
318	224	479
319	225	478
320	225	477
321	226	476
322	226	475
323	227	474
324	228	473
325	228	473
326	229	473
327	230	472
328	231	471
329	231	470
330	232	470
331	233	469
332	233	468
333	234	467
334	235	466
335	235	466
336	236	465
337	237	464
338	238	464
339	238	463
